APT
AMCX
ABC
BBY
BIIB
HRB
CPRX
CSCO
DLX
DISH
FKWL
HSII
HOLX
IRWD
LFVN
MCK
MIK
MSGN
NATH
NLS
OMC
PRDO
DGX
QDEL
SIGA
STRA
RGR
VYGR
WSTG
WW
