APT
MO
AMCX
BIIB
HRB
BKE
CPRX
CI
CHRS
DLX
DLHC
GILD
HSII
HPQ
INVA
LFVN
MIK
MSGN
NATH
OMC
PRDO
RPRX
SIGA
SUPN
TVTY
UIS
VGR
VYGR
WSTG
WW
