Ticker,08_07_20
MO,42.035
BBSI,57.65
BIIB,302.375
CPRX,4.015
LEU,16.28
CHRS,19.82
CORT,13.855
DLX,28.55
EBIX,25.99
FOXA,24.365
EAF,7.07
HSII,21.06
HPQ,18.315
INVA,13.46
JNCE,4.58
KFY,30.325
LXRX,1.855
MSB,18.535
MSGN,10.16
NATH,51.51
NCMI,3.04
OMC,53.125
PTN,0.5571
PRDO,14.79
PCOM,9.73
QMCO,4.94
SP,16.07
SUPN,22.65
TNET,68.31
UIS,12.53
