APT
MO
AMCX
BIIB
HRB
CPRX
CI
CSCO
CHRS
DLX
DLHC
GILD
HSII
HIBB
HPQ
INVA
JNCE
LFVN
MSGN
OMC
PRDO
STRA
SUPN
TVTY
TNET
UIS
VGR
VIAC
WSTG
WW
