APT
MO
BKE
CPRX
CI
CHRS
DLX
EME
FKWL
GILD
HSII
HOLX
HPQ
INVA
LFVN
MIK
MNDO
MSGN
NLS
OMC
PRDO
QDEL
SIGA
RGR
TGNA
USNA
VGR
VYGR
WSTG
WW
