Ticker,m07_10_20
ALSN,35.195
MO,39.995
AMCX,24.125
BBSI,52.295
BIIB,277.19
CPRX,4.98
CHRS,17.945
DLX,19.99
DHX,2.125
EBIX,19.71
GTX,4.89
EAF,7.355
HSII,19.99
HPQ,16.935
INVA,13.37
JNCE,6.12
KFY,26.865
LXRX,1.925
MSB,17.25
MSGN,10.03
OMC,54.17
OESX,3.705
PTN,0.5283
PRDO,15.95
PCOM,10.41
QMCO,4.115
SP,16.93
SUPN,23.99
UIS,10.665
XRX,15.34
