APT
MO
ABC
BIIB
CPRX
CI
CHRS
DLX
EME
FKWL
GILD
HSII
HOLX
HPQ
INVA
LFVN
MIK
MNDO
MSGN
NATH
NLS
OMC
PRDO
DGX
QDEL
SIGA
RGR
VYGR
WSTG
WW
