Ticker,07_24_20
ALSN,38.05
MO,41.85
AMCX,24.845
BBSI,52.91
BIIB,272.61
CPRX,4.725
CHRS,18.25
DLX,20.63
GTX,7.12
EAF,6.42
HSII,20.87
HPQ,17.5
INVA,13.25
JNCE,4.855
KFY,29.28
LXRX,1.735
MSB,16.01
MSGN,10.5
NATH,51.79
NCMI,2.925
OMC,56.56
PTN,0.56
PRDO,16.405
PCOM,9.27
QMCO,4.5
SP,17.015
SUPN,23.29
UIS,10.99
VGR,8.48
XRX,15.65
