Ticker,m07_17_20
ALSN,36.95
MO,41.54
AMCX,24.915
BBSI,54.24
BIIB,281.99
CPRX,5.005
CHRS,18.495
DLX,21.46
EBIX,22.09
GTX,6.99
EAF,7.54
HSII,21.025
HPQ,17.55
INVA,14.475
JNCE,5.41
KFY,29.44
LXRX,2.095
MSB,15.6
MSGN,10.38
NATH,53.515
OMC,55.69
OESX,3.78
PTN,0.529
PRDO,16.77
PCOM,9.6
QMCO,4.245
SP,18.48
SUPN,24.185
UIS,11.03
VGR,8.89
