Ticker,m07_04_20
ALSN,36.13
MO,39.4
AMCX,23.16
BBSI,51.4
BIIB,265.12
CPRX,4.81
CHRS,18.3
DLX,21.49
DHX,2.13
EBIX,21.6
GTX,4.96
EAF,7.82
HSII,21.09
HPQ,17.07
INVA,13.99
JNCE,6.51
KFY,30.17
LXRX,1.94
MSB,17.4
MSGN,9.85
OMC,54.61
OESX,3.64
PTN,0.4783
PRDO,16
PCOM,8.75
QMCO,4.05
SP,19.62
SUPN,23.61
UIS,10.6
XRX,15.73
