APT
MO
BKE
CPRX
CHRS
DLX
FKWL
FLGT
GILD
HSII
HPQ
INVA
LFVN
MIK
MNDO
MSGN
NLS
PRDO
QDEL
SAGE
SIGA
RGR
SUPN
TGNA
TUP
USNA
VGR
VYGR
WSTG
WW
