Ticker,08_01_20
ALSN,37.36
AMCX,23.1
BBSI,52.68
BIIB,274.69
CPRX,4.3
CHRS,17.59
CORT,14.95
GTX,5.88
EAF,6.07
HSII,20.23
HPQ,17.58
INVA,13.55
JNCE,4.58
KFY,28.1
LXRX,1.94
MSB,17.43
MSGN,9.53
NATH,50.93
NCMI,2.47
OMC,53.73
PTN,0.5766
PRDO,14.4
PCOM,9.24
QMCO,4.35
SP,15.89
SUPN,22.27
TNET,66
UIS,11.89
VNDA,10.08
VGR,8.82
